date,price
2010년09월14일,1499.02
2010년09월15일,1498.7
2010년09월16일,1498.51
2010년09월17일,1498.52
2010년09월18일,1498.42
2010년09월19일,1498.26
2010년09월20일,1498.43
2010년09월21일,1498.49
2010년09월22일,1498.51
2010년09월23일,1498.43
2010년09월24일,1498.54
2010년09월25일,1498.37
2010년09월26일,1498.23
2010년09월27일,1498.01
2010년09월28일,1497.19
2010년09월29일,1496.62
2010년09월30일,1496.2
2010년10월01일,1495.34
2010년10월02일,1494.87
2010년10월03일,1494.68
2010년10월04일,1494.51
2010년10월05일,1494.59
2010년10월06일,1494.26
2010년10월07일,1494.02
2010년10월08일,1494.12
2010년10월09일,1494.09
2010년10월10일,1494.11
2010년10월11일,1494.35
2010년10월12일,1496.12
2010년10월13일,1497
2010년10월14일,1497.72
2010년10월15일,1498.47
2010년10월16일,1499.36
2010년10월17일,1499.83
2010년10월18일,1500.73
2010년10월19일,1502.02
2010년10월20일,1503.05
2010년10월21일,1503.94
2010년10월22일,1504.7
2010년10월23일,1505.24
2010년10월24일,1505.4
2010년10월25일,1506.16
2010년10월26일,1506.25
2010년10월27일,1506.6
2010년10월28일,1506.92
2010년10월29일,1507.16
2010년10월30일,1507.27
2010년10월31일,1507.3
2010년11월01일,1507.62
2010년11월02일,1507.91
2010년11월03일,1507.85
2010년11월04일,1507.94
2010년11월05일,1508.11
2010년11월06일,1508.25
2010년11월07일,1508.21
2010년11월08일,1508.52
2010년11월09일,1509.18
2010년11월10일,1509.61
2010년11월11일,1510.02
2010년11월12일,1511.15
2010년11월13일,1511.95
2010년11월14일,1512.36
2010년11월15일,1513.33
2010년11월16일,1517.58
2010년11월17일,1520.49
2010년11월18일,1522.57
2010년11월19일,1523.94
2010년11월20일,1525.04
2010년11월21일,1525.49
2010년11월22일,1526.41
2010년11월23일,1527.2
2010년11월24일,1527.97
2010년11월25일,1528.88
2010년11월26일,1529.65
2010년11월27일,1530.14
2010년11월28일,1530.46
2010년11월29일,1531.05
2010년11월30일,1531.49
2010년12월01일,1532.49
2010년12월02일,1533.05
2010년12월03일,1535.05
2010년12월04일,1534.6
2010년12월05일,1534.77
2010년12월06일,1535.81
2010년12월07일,1541.15
2010년12월08일,1546
2010년12월09일,1550.03
2010년12월10일,1554.26
2010년12월11일,1557.35
2010년12월12일,1559.01
2010년12월13일,1561.62
2010년12월14일,1566.56
2010년12월15일,1570.26
2010년12월16일,1574.01
2010년12월17일,1576.99
2010년12월18일,1579.03
2010년12월19일,1580.22
2010년12월20일,1582.27
2010년12월21일,1584.84
2010년12월22일,1587.61
2010년12월23일,1590.64
2010년12월24일,1593.37
2010년12월25일,1595.33
2010년12월26일,1596.45
2010년12월27일,1598.55
2010년12월28일,1602.39
2010년12월29일,1605.08
2010년12월30일,1607.42
2010년12월31일,1609.34
2011년01월01일,1611.14
2011년01월02일,1611.79
2011년01월03일,1612.85
2011년01월04일,1614.02
2011년01월05일,1615
2011년01월06일,1615.81
2011년01월07일,1616.9
2011년01월08일,1617.52
2011년01월09일,1617.75
2011년01월10일,1618.36
2011년01월11일,1618.7
2011년01월12일,1619.1
2011년01월13일,1619.62
2011년01월14일,1620.19
2011년01월15일,1620.32
2011년01월16일,1620.53
2011년01월17일,1621.16
2011년01월18일,1622.69
2011년01월19일,1623.53
2011년01월20일,1624.21
2011년01월21일,1624.78
2011년01월22일,1625.2
2011년01월23일,1625.21
2011년01월24일,1625.81
2011년01월25일,1627.44
2011년01월26일,1628.4
2011년01월27일,1629.49
2011년01월28일,1630.53
2011년01월29일,1631.24
2011년01월30일,1631.66
2011년01월31일,1632.73
2011년02월01일,1634.49
2011년02월02일,1635.33
2011년02월03일,1635.65
2011년02월04일,1635.93
2011년02월05일,1636.18
2011년02월06일,1636.35
2011년02월07일,1637.18
2011년02월08일,1640.42
2011년02월09일,1643.12
2011년02월10일,1645.57
2011년02월11일,1647.39
2011년02월12일,1648.49
2011년02월13일,1649
2011년02월14일,1650.02
2011년02월15일,1651.81
2011년02월16일,1652.85
2011년02월17일,1653.52
2011년02월18일,1654.64
2011년02월19일,1655.45
2011년02월20일,1655.91
2011년02월21일,1658.15
2011년02월22일,1662.41
2011년02월23일,1664.82
2011년02월24일,1668.51
2011년02월25일,1671.5
2011년02월26일,1673.61
2011년02월27일,1674.48
2011년02월28일,1677.12
2011년03월01일,1684.26
2011년03월02일,1693.06
2011년03월03일,1698.87
2011년03월04일,1704.46
2011년03월05일,1709.07
2011년03월06일,1711.15
2011년03월07일,1715.67
2011년03월08일,1726.4
2011년03월09일,1734.78
2011년03월10일,1742.71
2011년03월11일,1749.06
2011년03월12일,1753.27
2011년03월13일,1754.99
2011년03월14일,1758.26
2011년03월15일,1762.64
2011년03월16일,1765.54
2011년03월17일,1768.33
2011년03월18일,1771.15
2011년03월19일,1773.5
2011년03월20일,1774.62
2011년03월21일,1777.13
2011년03월22일,1781.33
2011년03월23일,1784.07
2011년03월24일,1786.43
2011년03월25일,1788.55
2011년03월26일,1790.1
